lang	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70
en	vaccine	vaccines	vaccination	vaccinations	vaccinate	vaccinated	vaccinating	antivaxx	antivaxxers	novax	vaxxhappened	provax	vaccineswork	vaccinateyourkids	vaccinateyourkid	fluvaccine	mmr	hepb	measles	endpolio																																																			
de	Impfstoff	Impfstoffe	Impfung	Impfungen	impfen	geimpft	impfend	Impfgegner	Impfgegner				impfenwirkt	impfdeinekinder	impfdeinkind	Grippeimpfstoff	MMR	Hepatitis B	Masern		Kinderlähmung	impfenschützt	impfverweigerer	impfpflicht	Polio																																														
fr	vaccin	vaccins	vaccination	vaccinations	vacciner	vacciné, vaccinée	vaccinant	anti-vaccin, anti-vaccins	antivaccin	novax		provaccin, pro-vaccin, pro-vaccins	vaccin	vaccine tes enfants	vaccine ton enfant	vaccin contre la grippe	ROR	HepB	rougeole	endpolio																																																			
it	vacc	vaccinale	vaccinali	vaccinano	vaccinarci	vaccinare	vaccinarsi	vaccinate	vaccinati	vaccinato	vaccinaz	vaccinazione	vaccinazioni	vaccines	vaccini	vaccinista	vaccinisti	vaccino	antivaccinisti	freevax	iovaccino	nonvaccinato	novax	obbligovaccinale	provax	ridacciilvaccino																																													
pl	szczepionka	szczepionki	szczepienie	szczepienia	zaszczepić	zaszczepiony	zaszczepiać	antyszczepionki	antyszczepionkowscy	nie szczepionkom		vax pro	szczepionkowe dzialanie	szczep swoje dzieci	szczep swoje dziecko	szczepionka przeciw grypie	mmr	wzw B	odra	zatrzymać Heinego medina																																																			
es	vacuna	vacunas	vacunación	vacunaciones	vacunar	vacunado	vacunando	antivacunas	antivacunas	novacunas, vacunasno		Sivacunas, vacuansSI	lasvacunasfuncionan	vacunatushijos	vacunatuhijo	vacunagripal	spr	Hepatitis B	sarampión	acabar con la polio																																																			
ro	vaccin	vaccinuri	vaccinare, vaccin	vaccinări, vaccinuri	a vaccina	vaccinat	vaccinând	anti-vaccin	persoane anti-vaccin			Pro-vaccin	vaccinurile funcționează	vaccinați-vă copiii	vaccinează-ți copilul	vaccin antigripal	vaccin MMR, oreion, pojar și rubeolă	hepatită B	pojar																																																				
nl	inenting, vaccinatie,vaccin	inentinengen, vaccinaties	inenting, vaccinatie	inentineng, vaccinaties	inenten, vaccineren	ingeent, gevaccineerd	aan het inenten, aan het vaccineren	antivax	anti-vaxxers, vacinnatieweigeraar	geen vaccinatie	vaxxgebeurt	provax	vaccinaties werken, inentingen werken	vaccineer je kinderen	vaccineer je kind	griep inenting	BMR vaccin	hepatitus b	mazelen	stop polio																																																			
hu	vakcina	vakcinák	oltás	oltások	beolt	be van oltva	beoltó	oltásellenes	oltásellenesek			oltáspárti	a védőoltás működik	oltasd be a gyerekeidet	oltasd be a gyerekedet	influenza oltás	mmr	hepb	kanyaró	vessünk véget a gyermekbénulásnak		védőoltás	védőoltások	oltáskritikus	oltáskritikusok			védőoltást	védőoltásban	védőoltásba	védőoltástól	védőoltásokat	védőoltásokban	védőoltásokba																																					
tr	aşı	aşılar	aşı, aşılama, aşı yapma	aşılar, aşılamalar	aşılamak, aşı yapmak	aşılı, aşılanmış, aşı yapılmış, aşı olmuş	aşılanması, aşı yaptıran	aşı karşıtı	aşı karşıtları	aşıya hayır		aşıya evet	aşılar işe yarar	çocuklarınızı aşılatın	çocuğunuzu aşılatın	grip aşısı	kızamık, kabakulak, kızamıkçık	hepatit b	kızamık	polioya son, çocuk felcine son, çocuk felci																																																			
sv	vaccin	vacciner	vaccination	vaccinationer	vaccinera	vaccinerad	vaccinerande						vaccinfunkar	vaccineradinabarn	vaccineradittbarn	influensavaccin	mpr	hepatitB	mässling	endpolio																																																			
el	Εμβόλιο,εμβολίου	Εμβόλια ,εμβολίων	Εμβολιασμός	Εμβολιασμοί, εμβολιασμών,εμβολιασμών, εμβολιασμούς	Εμβολιάζω	Εμβολιασμένος	Εμβολιάζοντας	αντιεμβολιασμός	αντιεμβολιαστές				τα εμβόλια δουλεύουν	εμβολιάστε τα παιδιά σας	εμβολιάστε το παιδί σας	εμβόλιο γρίπης			ιλαρά	τέλος στη πολιομυελίτιδα																																																			
cs	vakcína, očkovaní	vakcíny, očkovaní	vakcinace, očkovaní	vakcinace, očkovaní	očkovat	očkovaný, očkovaná, očkované, očkovaní	očkující	proti očkování					očkovaní funguje	očkujte svoje děti	očkujte svoje dítě	očkování proti chřipce		hepatitida B	spalničky, osypky	konec obrny																																																			
pt	vacina	vacinas	vacinação	vacinações	vacinar	vacinado,vacinada	vacinando	antivax		novax		provax	vacinas funcionam	vacine seus filhos	vacine seu filho	vacina contra a gripe	tríplice viral, vaspr	hepatite b	sarampo	erradicar a polio, #endpolionow																																																			
bg	ваксина, ваксината	ваксини, ваксините	ваксинация, ваксинацията, ваксиниране	ваксинации, ваксинациите	ваксинирам, ваксинираш, ваксинира, ваксинираме, ваксинирате, ваксинират, ваксинирах се, ваксинира се, ваксинирахме се, ваксинирахте се, ваксинираха се	ваксиниран, ваксинирана, ваксинирано, ваксинирания, ваксинираният, ваксинираната, ваксинираното, ваксинирани, ваксинираните	ваксинирайки	антивакс	антиваксъри, антиваксърите, антиваксър, антиваксъра, антиваксърът					Ваксинирайте децата си	Ваксинирайте детето си	ваксинация против грип, ваксинацията против грип, ваксинации против грип, ваксинациите против грип	Ваксина срещу морбили, паротит и рубеола	ваксина срещу хепатит б	дребна шарка, морбили, брусница		Полиомиелитът, полиомиелит, детски паралич	комбинирана ваксина	имунизация, имунизацията																																																
hr	cjepivo	cjepiva	cijepljenje	cijepljenja	cijepiti	cijepljen	cijelpljena	cijepljeno	cijepe	cijepljenja	cijepljenje	antivaxx	antivax	protivljenje cijepljenju	antivaxeri	anti vaxeri	protivnici cijepljenja	protuvaxeri	bez cjepiva	cijepljen	za cijepljenje	cijepiva djeluju	cijepite svoju djecu	cijepite svoje dijete	cjepivo protiv gripe	mmr cjepivo	hepatitis b	ospice	rubeola	zaustavite dječju paralizu																																									
da	vaccine	vacciner	vaccination	vaccinationer	vaccinere	vaccineret	vaccinere	vaccinemodstand	vaccinemodstandere	uvaccineret	vaccineret	vaccinetilhænger	vacciner virker	vacciner dine børn	vacciner dit barn	influenzavaccine	mfr	hepb	mæslinger	udryd polio																																																			
fi	rokote	rokotteet	rokotus	rokotukset	rokottaa	rokotettu	rokottaa, rokottaminen						rokotteettoimivat	rokottakaalapsenne	rokotalapsesi	influenssarokote	mpr		tuhkarokko	udryd polio	rokote	rokotteet	rokotus	rokotukset	rokottaa	rokotettu	rokottaa, rokottaminen						rokotteettoimivat	rokottakaalapsenne	rokotalapsesi	influenssarokote	mpr		tuhkarokko																																
sk	vakcína	vakcíny	očkovanie	očkovania	očkovať	očkovaný	očkovanie	antivaxx	antivaxxers	novax	vaxxhappened	provax	vakcíny fungujú	zaočkujsvojedeti, zaočkujtesvojedeti	zaočkujsvojedieťa, zaočkujtevašedieťa	vakcína proti chrípke	mmr	HBV, Hepatitída typu B	osýpky	ukončidetskúobrnu																																																			
ru	вакцинация	вакцинированный	вакцинация	вакцинаций	вакцинировать	вакцинированный	вакцинирующий	вакцинироваться	вакцинировать	прививка	прививки	прививкам	прививках	прививке	грипп	корь	вакцина	вакцины						антивакцинаторство	антивакцинаторы, антипрививочник, антипрививочники			пропрививочники		вакцинация	вакцинированный	вакцинация	вакцинаций	вакцинировать	вакцинированный	вакцинирующий	вакцинироваться	вакцинировать	прививка	прививки	прививкам	прививках	прививке	грипп	корь	БЦЖ	полио	червонская	коток	манту	АКДС	пентаксим	инфанрикс гекса	инфанрикс	гекса	гардасил	иммунизация	вирус папилломы человека	папилома вирус	папиллома вирус		вакцина	вакцина	вакцины	вакцин	вакцине	вакцинам	вакцину	вакциной	вакцинами	вакцинах
